"participant","case","block","position","voice","ai","initial_pick","final_pick","initial_conf","final_conf","shift","pick_changed","cell","visibility_lost","initial_decision_ms","final_decision_ms"
"P42","case-sophie-lungenentzuendung","t2",1,"machine","confirm","A","A",6,6,0,0,"machine.confirm",0,4394,2400
"P42","case-tim-karies","t2",2,"machine","confirm","B","B",5,6,1,0,"machine.confirm",0,7207,1962
"P42","case-anna-erkaeltung","t2",3,"machine","refute","B","B",7,7,0,0,"machine.refute",0,1734,1834
"P42","case-nina-bindehaut","t2",4,"machine","refute","A","C",5,5,0,1,"machine.refute",0,14063,7839
"P43","case-anna-erkaeltung","t1",1,"machine","confirm","B","B",4,6,2,0,"machine.confirm",0,24111,2667
"P43","case-tomas-blase","t1",2,"machine","confirm","B","B",3,4,1,0,"machine.confirm",0,11336,2208
"P43","case-lea-streptokokken","t1",3,"machine","refute","A","A",4,4,0,0,"machine.refute",0,3965,1684
"P43","case-helga-alterswarzen","t1",4,"machine","refute","A","A",4,3,-1,0,"machine.refute",0,4119,4024
"P43","case-markus-bandscheibe","t2",1,"anthropomorphic","confirm","A","A",3,4,1,0,"anthropomorphic.confirm",0,4556,1940
"P43","case-tim-karies","t2",2,"anthropomorphic","confirm","B","B",4,5,1,0,"anthropomorphic.confirm",0,2954,1458
"P43","case-daniel-belastungsreaktion","t2",3,"anthropomorphic","refute","B","B",5,4,-1,0,"anthropomorphic.refute",0,3687,1275
"P43","case-nina-bindehaut","t2",4,"anthropomorphic","refute","A","A",3,3,0,0,"anthropomorphic.refute",0,5092,5219
"P44","case-jonas-trommelfellriss","t1",1,"anthropomorphic","refute","C","B",5,4,-1,1,"anthropomorphic.refute",0,8416,5883
"P44","case-nina-bindehaut","t1",2,"anthropomorphic","confirm","A","A",7,7,0,0,"anthropomorphic.confirm",0,6394,3034
"P44","case-helga-alterswarzen","t1",3,"anthropomorphic","confirm","B","B",6,6,0,0,"anthropomorphic.confirm",0,11499,1691
"P44","case-tim-karies","t1",4,"anthropomorphic","refute","B","B",7,7,0,0,"anthropomorphic.refute",0,16001,2323
"P44","case-tomas-blase","t2",1,"machine","refute","B","B",6,6,0,0,"machine.refute",0,6333,5536
"P44","case-anna-erkaeltung","t2",2,"machine","refute","B","B",6,7,1,0,"machine.refute",0,3546,3581
"P44","case-sophie-lungenentzuendung","t2",3,"machine","confirm","B","B",5,5,0,0,"machine.confirm",0,5668,2470
"P44","case-martin-bronchitis","t2",4,"machine","confirm","A","A",4,4,0,0,"machine.confirm",0,5884,1247
"P45","case-helga-alterswarzen","t1",1,"machine","confirm","B","B",1,3,2,0,"machine.confirm",0,4937,2121
"P45","case-tim-karies","t1",2,"machine","refute","C","C",1,2,1,0,"machine.refute",0,4162,2736
"P45","case-jonas-trommelfellriss","t1",3,"machine","confirm","C","C",5,6,1,0,"machine.confirm",0,6129,1786
"P45","case-lea-streptokokken","t1",4,"machine","refute","A","A",1,1,0,0,"machine.refute",0,6506,1575
"P45","case-anna-erkaeltung","t2",1,"anthropomorphic","refute","A","A",2,1,-1,0,"anthropomorphic.refute",0,6456,3054
"P45","case-daniel-belastungsreaktion","t2",2,"anthropomorphic","confirm","B","B",4,4,0,0,"anthropomorphic.confirm",0,5778,1425
"P45","case-nina-bindehaut","t2",3,"anthropomorphic","confirm","A","A",1,1,0,0,"anthropomorphic.confirm",0,11671,14749
"P45","case-tomas-blase","t2",4,"anthropomorphic","refute","A","A",1,1,0,0,"anthropomorphic.refute",0,3075,1274
"P46","case-tomas-blase","t1",1,"machine","refute","B","C",4,7,3,1,"machine.refute",0,5410,4054
"P46","case-jonas-trommelfellriss","t1",2,"machine","confirm","B","B",5,7,2,0,"machine.confirm",0,8242,1998
"P46","case-sophie-lungenentzuendung","t1",3,"machine","confirm","C","B",6,5,-1,1,"machine.confirm",0,15144,4604
"P46","case-daniel-belastungsreaktion","t1",4,"machine","refute","B","B",5,5,0,0,"machine.refute",0,3389,2290
